"EmpID" "Month" "nSales" "Team"
"352" 601 4 14 "A"
"353" 601 5 14 "A"
"354" 601 6 14 "A"
"355" 601 7 23 "A"
"356" 601 8 10 "A"
"357" 601 9 12 "A"
"358" 601 10 27 "A"
"359" 601 11 23 "A"
"360" 601 12 35 "A"
"361" 602 1 8 "A"
"362" 602 2 8 "A"
"363" 602 3 18 "A"
"364" 602 4 21 "A"
"365" 602 5 13 "A"
"366" 602 6 13 "A"
"367" 602 7 18 "A"
"368" 602 8 13 "A"
"369" 602 9 17 "A"
"370" 602 10 18 "A"
"371" 602 11 33 "A"
"372" 602 12 16 "A"
"373" 603 1 11 "A"
"374" 603 2 15 "A"
"375" 603 3 11 "A"
"376" 603 4 19 "A"
"377" 603 5 24 "A"
"378" 603 6 13 "A"
"379" 603 7 16 "A"
"380" 603 8 13 "A"
"381" 603 9 22 "A"
"382" 603 10 20 "A"
"383" 603 11 19 "A"
"384" 603 12 18 "A"
"385" 604 1 11 "A"
"386" 604 2 13 "A"
"387" 604 3 16 "A"
"388" 604 4 20 "A"
"389" 604 5 18 "A"
"390" 604 6 9 "A"
"391" 604 7 21 "A"
"392" 604 8 21 "A"
"393" 604 9 19 "A"
"394" 604 10 16 "A"
"395" 604 11 25 "A"
"396" 604 12 22 "A"
"397" 700 1 7 "A"
"398" 700 2 7 "A"
"399" 700 3 10 "A"
"400" 700 4 7 "A"
"401" 700 5 8 "A"
"402" 700 6 14 "A"
"403" 700 7 15 "A"
"404" 700 8 23 "A"
"405" 700 9 10 "A"
"406" 700 10 20 "A"
"407" 700 11 25 "A"
"408" 700 12 17 "A"
"409" 701 1 8 "A"
"410" 701 2 11 "A"
"411" 701 3 9 "A"
"412" 701 4 15 "A"
"413" 701 5 10 "A"
"414" 701 6 15 "A"
"415" 701 7 19 "A"
"416" 701 8 19 "A"
"417" 701 9 21 "A"
"418" 701 10 15 "A"
"419" 701 11 11 "A"
"420" 701 12 14 "A"
"421" 702 1 7 "A"
"422" 702 2 6 "A"
"423" 702 3 13 "A"
"424" 702 4 8 "A"
"425" 702 5 21 "A"
"426" 702 6 12 "A"
"427" 702 7 19 "A"
"428" 702 8 18 "A"
"429" 702 9 19 "A"
"430" 702 10 25 "A"
"431" 702 11 14 "A"
"432" 702 12 18 "A"
"433" 703 1 20 "A"
"434" 703 2 11 "A"
"435" 703 3 12 "A"
"436" 703 4 11 "A"
"437" 703 5 16 "A"
"438" 703 6 19 "A"
"439" 703 7 20 "A"
"440" 703 8 14 "A"
"441" 703 9 18 "A"
"442" 703 10 24 "A"
"443" 703 11 24 "A"
"444" 703 12 16 "A"
"445" 704 1 12 "A"
"446" 704 2 15 "A"
"447" 704 3 15 "A"
"448" 704 4 18 "A"
"449" 704 5 14 "A"
"450" 704 6 19 "A"
"451" 704 7 20 "A"
"452" 704 8 17 "A"
"453" 704 9 24 "A"
"454" 704 10 27 "A"
"455" 704 11 20 "A"
"456" 704 12 20 "A"
"457" 705 1 19 "A"
"458" 705 2 19 "A"
"459" 705 3 20 "A"
"460" 705 4 17 "A"
"461" 705 5 20 "A"
"462" 705 6 11 "A"
"463" 705 7 22 "A"
"464" 705 8 24 "A"
"465" 705 9 30 "A"
"466" 705 10 23 "A"
"467" 705 11 21 "A"
"468" 705 12 25 "A"
"469" 706 1 11 "A"
"470" 706 2 18 "A"
"471" 706 3 14 "A"
"472" 706 4 19 "A"
"473" 706 5 27 "A"
"474" 706 6 NA "A"
"475" 706 7 19 "A"
"476" 706 8 19 "A"
"477" 706 9 19 "A"
"478" 706 10 20 "A"
"479" 706 11 25 "A"
"480" 706 12 24 "A"
"481" 800 1 8 "A"
"482" 800 2 13 "A"
"483" 800 3 11 "A"
"484" 800 4 16 "A"
"485" 800 5 9 "A"
"486" 800 6 16 "A"
"487" 800 7 24 "A"
"488" 800 8 17 "A"
"489" 800 9 16 "A"
"490" 800 10 20 "A"
"491" 800 11 25 "A"
"492" 800 12 23 "A"
"493" 801 1 13 "A"
"494" 801 2 20 "A"
"495" 801 3 15 "A"
"496" 801 4 26 "A"
"497" 801 5 20 "A"
"498" 801 6 16 "A"
"499" 801 7 16 "A"
"500" 801 8 27 "A"
"501" 801 9 24 "A"
"502" 801 10 NA "A"
"503" 801 11 19 "A"
"504" 801 12 27 "A"
"505" 802 1 8 "A"
"506" 802 2 11 "A"
"507" 802 3 12 "A"
"508" 802 4 16 "A"
"509" 802 5 7 "A"
"510" 802 6 19 "A"
"511" 802 7 19 "A"
"512" 802 8 25 "A"
"513" 802 9 26 "A"
"514" 802 10 25 "A"
"515" 802 11 14 "A"
"516" 802 12 27 "A"
"517" 803 1 8 "A"
"518" 803 2 5 "A"
"519" 803 3 18 "A"
"520" 803 4 14 "A"
"521" 803 5 28 "A"
"522" 803 6 27 "A"
"523" 803 7 17 "A"
"524" 803 8 25 "A"
"525" 803 9 17 "A"
"526" 803 10 21 "A"
"527" 803 11 20 "A"
"528" 803 12 21 "A"
"529" 804 1 9 "A"
"530" 804 2 11 "A"
"531" 804 3 11 "A"
"532" 804 4 17 "A"
"533" 804 5 21 "A"
"534" 804 6 23 "A"
"535" 804 7 20 "A"
"536" 804 8 26 "A"
"537" 804 9 25 "A"
"538" 804 10 22 "A"
"539" 804 11 29 "A"
"540" 804 12 32 "A"
"541" 900 1 8 "A"
"542" 900 2 12 "A"
"543" 900 3 8 "A"
"544" 900 4 6 "A"
"545" 900 5 16 "A"
"546" 900 6 19 "A"
"547" 900 7 15 "A"
"548" 900 8 7 "A"
"549" 900 9 18 "A"
"550" 900 10 16 "A"
"551" 900 11 24 "A"
"552" 900 12 23 "A"
"553" 901 1 12 "A"
"554" 901 2 7 "A"
"555" 901 3 14 "A"
"556" 901 4 16 "A"
"557" 901 5 17 "A"
"558" 901 6 14 "A"
"559" 901 7 18 "A"
"560" 901 8 31 "A"
"561" 901 9 21 "A"
"562" 901 10 17 "A"
"563" 901 11 23 "A"
"564" 901 12 23 "A"
"565" 902 1 7 "A"
"566" 902 2 11 "A"
"567" 902 3 18 "A"
"568" 902 4 22 "A"
"569" 902 5 13 "A"
"570" 902 6 18 "A"
"571" 902 7 20 "A"
"572" 902 8 18 "A"
"573" 902 9 12 "A"
"574" 902 10 22 "A"
"575" 902 11 20 "A"
"576" 902 12 17 "A"
"577" 903 1 8 "A"
"578" 903 2 16 "A"
"579" 903 3 15 "A"
"580" 903 4 15 "A"
"581" 903 5 15 "A"
"582" 903 6 11 "A"
"583" 903 7 16 "A"
"584" 903 8 14 "A"
"585" 903 9 NA "A"
"586" 903 10 22 "A"
"587" 903 11 18 "A"
"588" 903 12 23 "A"
"589" 904 1 18 "A"
"590" 904 2 10 "A"
"591" 904 3 14 "A"
"592" 904 4 8 "A"
"593" 904 5 18 "A"
"594" 904 6 19 "A"
"595" 904 7 11 "A"
"596" 904 8 19 "A"
"597" 904 9 26 "A"
"598" 904 10 21 "A"
"599" 904 11 22 "A"
"600" 904 12 18 "A"
"601" 905 1 11 "A"
"602" 905 2 19 "A"
"603" 905 3 11 "A"
"604" 905 4 20 "A"
"605" 905 5 24 "A"
"606" 905 6 11 "A"
"607" 905 7 25 "A"
"608" 905 8 25 "A"
"609" 905 9 25 "A"
"610" 905 10 28 "A"
"611" 905 11 22 "A"
"612" 905 12 37 "A"
"613" 906 1 14 "A"
"614" 906 2 20 "A"
"615" 906 3 17 "A"
"616" 906 4 29 "A"
"617" 906 5 21 "A"
"618" 906 6 18 "A"
"619" 906 7 23 "A"
"620" 906 8 19 "A"
"621" 906 9 21 "A"
"622" 906 10 23 "A"
"623" 906 11 21 "A"
"624" 906 12 28 "A"
"625" 907 1 15 "A"
"626" 907 2 22 "A"
"627" 907 3 17 "A"
"628" 907 4 19 "A"
"629" 907 5 22 "A"
"630" 907 6 15 "A"
"631" 907 7 24 "A"
"632" 907 8 19 "A"
"633" 907 9 19 "A"
"634" 907 10 27 "A"
"635" 907 11 27 "A"
"636" 907 12 26 "A"
"637" 908 1 NA "A"
"638" 908 2 19 "A"
"639" 908 3 21 "A"
"640" 908 4 21 "A"
"641" 908 5 29 "A"
"642" 908 6 24 "A"
"643" 908 7 26 "A"
"644" 908 8 25 "A"
"645" 908 9 27 "A"
"646" 908 10 25 "A"
"647" 908 11 27 "A"
"648" 908 12 34 "A"
