"EmpID" "Month" "nSales"
"242" 1400 2 12
"243" 1400 3 12
"244" 1400 4 17
"245" 1400 5 24
"246" 1400 6 20
"247" 1400 7 13
"248" 1400 8 18
"249" 1400 9 17
"250" 1400 10 21
"251" 1400 11 20
"252" 1400 12 27
"253" 1401 1 17
"254" 1401 2 7
"255" 1401 3 15
"256" 1401 4 22
"257" 1401 5 19
"258" 1401 6 15
"259" 1401 7 21
"260" 1401 8 14
"261" 1401 9 23
"262" 1401 10 18
"263" 1401 11 27
"264" 1401 12 11
"265" 1402 1 16
"266" 1402 2 9
"267" 1402 3 14
"268" 1402 4 19
"269" 1402 5 12
"270" 1402 6 15
"271" 1402 7 23
"272" 1402 8 18
"273" 1402 9 21
"274" 1402 10 18
"275" 1402 11 26
"276" 1402 12 24
"277" 1403 1 10
"278" 1403 2 17
"279" 1403 3 15
"280" 1403 4 16
"281" 1403 5 24
"282" 1403 6 30
"283" 1403 7 19
"284" 1403 8 20
"285" 1403 9 30
"286" 1403 10 29
"287" 1403 11 21
"288" 1403 12 25
"289" 1404 1 20
"290" 1404 2 14
"291" 1404 3 18
"292" 1404 4 24
"293" 1404 5 18
"294" 1404 6 15
"295" 1404 7 25
"296" 1404 8 26
"297" 1404 9 23
"298" 1404 10 30
"299" 1404 11 24
"300" 1404 12 35
"301" 1405 1 17
"302" 1405 2 12
"303" 1405 3 16
"304" 1405 4 23
"305" 1405 5 14
"306" 1405 6 13
"307" 1405 7 25
"308" 1405 8 28
"309" 1405 9 21
"310" 1405 10 25
"311" 1405 11 27
"312" 1405 12 27
"313" 1406 1 18
"314" 1406 2 21
"315" 1406 3 33
"316" 1406 4 21
"317" 1406 5 22
"318" 1406 6 13
"319" 1406 7 30
"320" 1406 8 29
"321" 1406 9 23
"322" 1406 10 27
"323" 1406 11 34
"324" 1406 12 28
"325" 1407 1 10
"326" 1407 2 18
"327" 1407 3 20
"328" 1407 4 30
"329" 1407 5 33
"330" 1407 6 28
"331" 1407 7 22
"332" 1407 8 32
"333" 1407 9 27
"334" 1407 10 27
"335" 1407 11 28
"336" 1407 12 39
"337" 1500 1 15
"338" 1500 2 5
"339" 1500 3 17
"340" 1500 4 12
"341" 1500 5 20
"342" 1500 6 14
"343" 1500 7 13
"344" 1500 8 18
"345" 1500 9 10
"346" 1500 10 13
"347" 1500 11 26
"348" 1500 12 17
"349" 1501 1 22
"350" 1501 2 19
"351" 1501 3 21
"352" 1501 4 18
"353" 1501 5 17
"354" 1501 6 22
"355" 1501 7 20
"356" 1501 8 26
"357" 1501 9 23
"358" 1501 10 13
"359" 1501 11 30
"360" 1501 12 31
"361" 1502 1 11
"362" 1502 2 9
"363" 1502 3 18
"364" 1502 4 13
"365" 1502 5 18
"366" 1502 6 13
"367" 1502 7 21
"368" 1502 8 19
"369" 1502 9 19
"370" 1502 10 21
"371" 1502 11 24
"372" 1502 12 31
"373" 1503 1 29
"374" 1503 2 19
"375" 1503 3 12
"376" 1503 4 16
"377" 1503 5 17
"378" 1503 6 14
"379" 1503 7 24
"380" 1503 8 16
"381" 1503 9 23
"382" 1503 10 32
"383" 1503 11 24
"384" 1503 12 32
"385" 1504 1 11
"386" 1504 2 24
"387" 1504 3 21
"388" 1504 4 14
"389" 1504 5 31
"390" 1504 6 18
"391" 1504 7 22
"392" 1504 8 20
"393" 1504 9 22
"394" 1504 10 35
"395" 1504 11 10
"396" 1504 12 29
"397" 1600 1 11
"398" 1600 2 5
"399" 1600 3 16
"400" 1600 4 17
"401" 1600 5 16
"402" 1600 6 20
"403" 1600 7 17
"404" 1600 8 22
"405" 1600 9 15
"406" 1600 10 14
"407" 1600 11 19
"408" 1600 12 26
"409" 1601 1 13
"410" 1601 2 11
"411" 1601 3 11
"412" 1601 4 17
"413" 1601 5 15
"414" 1601 6 20
"415" 1601 7 23
"416" 1601 8 17
"417" 1601 9 17
"418" 1601 10 22
"419" 1601 11 19
"420" 1601 12 14
"421" 1602 1 16
"422" 1602 2 16
"423" 1602 3 NA
"424" 1602 4 11
"425" 1602 5 20
"426" 1602 6 27
"427" 1602 7 NA
"428" 1602 8 21
"429" 1602 9 22
"430" 1602 10 24
"431" 1602 11 29
"432" 1602 12 21
"433" 1603 1 14
"434" 1603 2 17
"435" 1603 3 21
"436" 1603 4 12
"437" 1603 5 22
"438" 1603 6 19
"439" 1603 7 25
"440" 1603 8 21
"441" 1603 9 25
"442" 1603 10 29
"443" 1603 11 20
"444" 1603 12 23
"445" 1604 1 20
"446" 1604 2 21
"447" 1604 3 22
"448" 1604 4 22
"449" 1604 5 21
"450" 1604 6 27
"451" 1604 7 23
"452" 1604 8 28
"453" 1604 9 26
"454" 1604 10 23
"455" 1604 11 31
"456" 1604 12 31
"457" 1605 1 18
"458" 1605 2 15
"459" 1605 3 21
"460" 1605 4 18
"461" 1605 5 12
"462" 1605 6 25
"463" 1605 7 28
"464" 1605 8 26
"465" 1605 9 20
"466" 1605 10 13
"467" 1605 11 37
"468" 1605 12 34
"469" 1606 1 15
"470" 1606 2 16
"471" 1606 3 21
"472" 1606 4 20
"473" 1606 5 23
"474" 1606 6 30
"475" 1606 7 35
"476" 1606 8 31
"477" 1606 9 29
"478" 1606 10 35
"479" 1606 11 23
"480" 1606 12 33
"481" 1700 1 14

"482" 1700 2 15
"483" 1700 3 17
"484" 1700 4 16
"485" 1700 5 16
"486" 1700 6 8
"487" 1700 7 12
"488" 1700 8 16
"489" 1700 9 17
"490" 1700 10 18
"491" 1700 11 25
"492" 1700 12 30
"493" 1701 1 12
"494" 1701 2 8
"495" 1701 3 14
"496" 1701 4 21
"497" 1701 5 13
"498" 1701 6 24
"499" 1701 7 21
"500" 1701 8 20
"501" 1701 9 22
"502" 1701 10 13
"503" 1701 11 16
"504" 1701 12 25
"505" 1702 1 17
"506" 1702 2 NA
"507" 1702 3 19
"508" 1702 4 21
"509" 1702 5 21
"510" 1702 6 27
"511" 1702 7 18
"512" 1702 8 15
"513" 1702 9 35
"514" 1702 10 22
"515" 1702 11 27
"516" 1702 12 29
"517" 1703 1 17
"518" 1703 2 8
"519" 1703 3 16
"520" 1703 4 22
"521" 1703 5 13
"522" 1703 6 24
"523" 1703 7 19
"524" 1703 8 20
"525" 1703 9 27
"526" 1703 10 27
"527" 1703 11 32
"528" 1703 12 26
"529" 1704 1 17
"530" 1704 2 25
"531" 1704 3 NA
"532" 1704 4 18
"533" 1704 5 30
"534" 1704 6 22
"535" 1704 7 22
"536" 1704 8 32
"537" 1704 9 28
"538" 1704 10 21
"539" 1704 11 23
"540" 1704 12 28
"541" 1800 1 9
"542" 1800 2 11
"543" 1800 3 8
"544" 1800 4 12
"545" 1800 5 12
"546" 1800 6 12
"547" 1800 7 13
"548" 1800 8 16
"549" 1800 9 15
"550" 1800 10 15
"551" 1800 11 22
"552" 1800 12 18
"553" 1801 1 8
"554" 1801 2 7
"555" 1801 3 10
"556" 1801 4 6
"557" 1801 5 15
"558" 1801 6 16
"559" 1801 7 13
"560" 1801 8 13
"561" 1801 9 24
"562" 1801 10 16
"563" 1801 11 26
"564" 1801 12 23
"565" 1802 1 6
"566" 1802 2 11
"567" 1802 3 14
"568" 1802 4 8
"569" 1802 5 23
"570" 1802 6 13
"571" 1802 7 10
"572" 1802 8 11
"573" 1802 9 21
"574" 1802 10 12
"575" 1802 11 24
"576" 1802 12 20
"577" 1803 1 12
"578" 1803 2 13
"579" 1803 3 15
"580" 1803 4 11
"581" 1803 5 16
"582" 1803 6 19
"583" 1803 7 16
"584" 1803 8 17
"585" 1803 9 15
"586" 1803 10 25
"587" 1803 11 15
"588" 1803 12 30
"589" 1804 1 14
"590" 1804 2 11
"591" 1804 3 10
"592" 1804 4 17
"593" 1804 5 17
"594" 1804 6 15
"595" 1804 7 16
"596" 1804 8 18
"597" 1804 9 18
"598" 1804 10 18
"599" 1804 11 19
"600" 1804 12 17
"601" 1805 1 16
"602" 1805 2 6
"603" 1805 3 15
"604" 1805 4 20
"605" 1805 5 26
"606" 1805 6 16
"607" 1805 7 23
"608" 1805 8 19
"609" 1805 9 23
"610" 1805 10 20
"611" 1805 11 25
"612" 1805 12 22
"613" 1806 1 16
"614" 1806 2 10
"615" 1806 3 14
"616" 1806 4 24
"617" 1806 5 24
"618" 1806 6 15
"619" 1806 7 22
"620" 1806 8 18
"621" 1806 9 32
"622" 1806 10 20
"623" 1806 11 21
"624" 1806 12 28
"625" 1807 1 11
"626" 1807 2 13
"627" 1807 3 13
"628" 1807 4 15
"629" 1807 5 18
"630" 1807 6 21
"631" 1807 7 24
"632" 1807 8 21
"633" 1807 9 21
"634" 1807 10 14
"635" 1807 11 29
"636" 1807 12 33
"637" 1900 1 12
"638" 1900 2 15
"639" 1900 3 13
"640" 1900 4 18
"641" 1900 5 14
"642" 1900 6 18
"643" 1900 7 21
"644" 1900 8 20
"645" 1900 9 19
"646" 1900 10 17
"647" 1900 11 15
"648" 1900 12 35
"649" 1901 1 23
"650" 1901 2 16
"651" 1901 3 22
"652" 1901 4 28
"653" 1901 5 22
"654" 1901 6 18
"655" 1901 7 20
"656" 1901 8 21
"657" 1901 9 17
"658" 1901 10 26
"659" 1901 11 17
"660" 1901 12 24
"661" 1902 1 18
"662" 1902 2 17
"663" 1902 3 32
"664" 1902 4 21
"665" 1902 5 13
"666" 1902 6 19
"667" 1902 7 25
"668" 1902 8 18
"669" 1902 9 29
"670" 1902 10 24
"671" 1902 11 24
"672" 1902 12 20
"673" 1903 1 9
"674" 1903 2 20
"675" 1903 3 19
"676" 1903 4 NA
"677" 1903 5 16
"678" 1903 6 24
"679" 1903 7 21
"680" 1903 8 21
"681" 1903 9 29
"682" 1903 10 25
"683" 1903 11 27
"684" 1903 12 25
"685" 1904 1 17
"686" 1904 2 29
"687" 1904 3 16
"688" 1904 4 23
"689" 1904 5 25
"690" 1904 6 17
"691" 1904 7 26
"692" 1904 8 32
"693" 1904 9 24
"694" 1904 10 31
"695" 1904 11 34
"696" 1904 12 29
"697" 1905 1 21
"698" 1905 2 12
"699" 1905 3 24
"700" 1905 4 18
"701" 1905 5 25
"702" 1905 6 21
"703" 1905 7 28
"704" 1905 8 22
"705" 1905 9 24
"706" 1905 10 23
"707" 1905 11 30
"708" 1905 12 34
"709" 1906 1 11
"710" 1906 2 28
"711" 1906 3 20
"712" 1906 4 18
"713" 1906 5 18
"714" 1906 6 25
"715" 1906 7 28
"716" 1906 8 22
"717" 1906 9 18
"718" 1906 10 21
"719" 1906 11 25
"720" 1906 12 34
"721" 1907 1 22
"722" 1907 2 18
"723" 1907 3 16
"724" 1907 4 31
"725" 1907 5 22
"726" 1907 6 17
"727" 1907 7 25
"728" 1907 8 22
"729" 1907 9 26
"730" 1907 10 37
"731" 1907 11 28
"732" 1907 12 26
"733" 1908 1 29
"734" 1908 2 17
"735" 1908 3 31
"736" 1908 4 23
"737" 1908 5 24
"738" 1908 6 18
"739" 1908 7 33
"740" 1908 8 25
"741" 1908 9 22
"742" 1908 10 26
"743" 1908 11 30
"744" 1908 12 29
"745" 2000 1 11
"746" 2000 2 16
"747" 2000 3 17
"748" 2000 4 23
"749" 2000 5 10
"750" 2000 6 20
"751" 2000 7 20
"752" 2000 8 20
"753" 2000 9 20
"754" 2000 10 26
"755" 2000 11 NA
"756" 2000 12 18
"757" 2001 1 17
"758" 2001 2 10
"759" 2001 3 17
"760" 2001 4 19
"761" 2001 5 16
"762" 2001 6 18
"763" 2001 7 22
"764" 2001 8 19
"765" 2001 9 19
"766" 2001 10 28
"767" 2001 11 30
"768" 2001 12 20
"769" 2002 1 14
"770" 2002 2 9
"771" 2002 3 17
"772" 2002 4 16
"773" 2002 5 14
"774" 2002 6 14
"775" 2002 7 14
"776" 2002 8 21
"777" 2002 9 23
"778" 2002 10 23
"779" 2002 11 28
"780" 2002 12 25
"781" 2003 1 22
"782" 2003 2 23
"783" 2003 3 17
"784" 2003 4 21
"785" 2003 5 13
"786" 2003 6 20
"787" 2003 7 29
"788" 2003 8 13
"789" 2003 9 32
"790" 2003 10 23
"791" 2003 11 29
"792" 2003 12 25
"793" 2004 1 NA
"794" 2004 2 16
"795" 2004 3 23
"796" 2004 4 21
"797" 2004 5 14
"798" 2004 6 27
"799" 2004 7 30
"800" 2004 8 23
"801" 2004 9 23
"802" 2004 10 29
"803" 2004 11 36
"804" 2004 12 36
"805" 2100 1 15
"806" 2100 2 13
"807" 2100 3 8
"808" 2100 4 7
"809" 2100 5 22
"810" 2100 6 18
"811" 2100 7 11
"812" 2100 8 17
"813" 2100 9 17
"814" 2100 10 15
"815" 2100 11 25
"816" 2100 12 22
"817" 2101 1 5
"818" 2101 2 18
"819" 2101 3 11
"820" 2101 4 9
"821" 2101 5 11
"822" 2101 6 19
"823" 2101 7 19
"824" 2101 8 16
"825" 2101 9 15
"826" 2101 10 21
"827" 2101 11 26
"828" 2101 12 28
"829" 2102 1 6
"830" 2102 2 12
"831" 2102 3 20
"832" 2102 4 12
"833" 2102 5 16
"834" 2102 6 19
"835" 2102 7 20
"836" 2102 8 23
"837" 2102 9 26
"838" 2102 10 25
"839" 2102 11 18
"840" 2102 12 25
"841" 2103 1 11
"842" 2103 2 12
"843" 2103 3 15
"844" 2103 4 15
"845" 2103 5 17
"846" 2103 6 NA
"847" 2103 7 25
"848" 2103 8 24
"849" 2103 9 13
"850" 2103 10 25
"851" 2103 11 28
"852" 2103 12 26
"853" 2104 1 16
"854" 2104 2 15
"855" 2104 3 19
"856" 2104 4 17
"857" 2104 5 16
"858" 2104 6 20
"859" 2104 7 37
"860" 2104 8 18
"861" 2104 9 23
"862" 2104 10 20
"863" 2104 11 16
"864" 2104 12 29
"865" 2200 1 17
"866" 2200 2 19
"867" 2200 3 11
"868" 2200 4 14
"869" 2200 5 13
"870" 2200 6 25
"871" 2200 7 22
"872" 2200 8 19
"873" 2200 9 22
"874" 2200 10 29
"875" 2200 11 16
"876" 2200 12 20
"877" 2201 1 18
"878" 2201 2 16
"879" 2201 3 22
"880" 2201 4 16
"881" 2201 5 26
"882" 2201 6 25
"883" 2201 7 21
"884" 2201 8 25
"885" 2201 9 21
"886" 2201 10 24
"887" 2201 11 20
"888" 2201 12 29
"889" 2202 1 11
"890" 2202 2 20
"891" 2202 3 14
"892" 2202 4 20
"893" 2202 5 15
"894" 2202 6 20
"895" 2202 7 15
"896" 2202 8 20
"897" 2202 9 24
"898" 2202 10 25
"899" 2202 11 25
"900" 2202 12 28
"901" 2203 1 18
"902" 2203 2 14
"903" 2203 3 15
"904" 2203 4 17
"905" 2203 5 22
"906" 2203 6 20
"907" 2203 7 20
"908" 2203 8 26
"909" 2203 9 26
"910" 2203 10 20
"911" 2203 11 29
"912" 2203 12 18
"913" 2204 1 22
"914" 2204 2 18
"915" 2204 3 16
"916" 2204 4 20
"917" 2204 5 16
"918" 2204 6 30
"919" 2204 7 22
"920" 2204 8 24
"921" 2204 9 NA
"922" 2204 10 25
"923" 2204 11 26
"924" 2204 12 40
"925" 2205 1 19
"926" 2205 2 14
"927" 2205 3 25
"928" 2205 4 25
"929" 2205 5 19
"930" 2205 6 26
"931" 2205 7 28
"932" 2205 8 27
"933" 2205 9 30
"934" 2205 10 30
"935" 2205 11 30
"936" 2205 12 27
"937" 2300 1 16
"938" 2300 2 11
"939" 2300 3 13
"940" 2300 4 16
"941" 2300 5 22
"942" 2300 6 12
"943" 2300 7 14
"944" 2300 8 21
"945" 2300 9 18
"946" 2300 10 24
"947" 2300 11 19
"948" 2300 12 19
"949" 2301 1 16
"950" 2301 2 15
"951" 2301 3 14
"952" 2301 4 16
"953" 2301 5 12
"954" 2301 6 20
"955" 2301 7 28
"956" 2301 8 21
"957" 2301 9 13
"958" 2301 10 25
"959" 2301 11 30
"960" 2301 12 18
"961" 2302 1 12
"962" 2302 2 11
"963" 2302 3 13
"964" 2302 4 14
"965" 2302 5 24
"966" 2302 6 15
"967" 2302 7 25
"968" 2302 8 19
"969" 2302 9 26
"970" 2302 10 27
"971" 2302 11 27
"972" 2302 12 27
"973" 2303 1 20
"974" 2303 2 20
"975" 2303 3 12
"976" 2303 4 23
"977" 2303 5 21
"978" 2303 6 28
"979" 2303 7 20
"980" 2303 8 26
"981" 2303 9 24
"982" 2303 10 27
"983" 2303 11 31
"984" 2303 12 32
"985" 2400 1 18
"986" 2400 2 17
"987" 2400 3 11
"988" 2400 4 7
"989" 2400 5 14
"990" 2400 6 20
"991" 2400 7 15
"992" 2400 8 18
"993" 2400 9 23
"994" 2400 10 17
"995" 2400 11 18
"996" 2400 12 21
"997" 2401 1 8
"998" 2401 2 15
"999" 2401 3 15
"1000" 2401 4 15
"1001" 2401 5 23
"1002" 2401 6 21
"1003" 2401 7 24
"1004" 2401 8 13
"1005" 2401 9 18
"1006" 2401 10 20
"1007" 2401 11 17
"1008" 2401 12 22
"1009" 2402 1 11
"1010" 2402 2 15
"1011" 2402 3 22
"1012" 2402 4 13
"1013" 2402 5 13
"1014" 2402 6 18
"1015" 2402 7 16
"1016" 2402 8 16
"1017" 2402 9 31
"1018" 2402 10 22
"1019" 2402 11 26
"1020" 2402 12 29
"1021" 2403 1 12
"1022" 2403 2 14
"1023" 2403 3 17
"1024" 2403 4 21
"1025" 2403 5 13
"1026" 2403 6 20
"1027" 2403 7 8
"1028" 2403 8 NA
"1029" 2403 9 21
"1030" 2403 10 12
"1031" 2403 11 19
"1032" 2403 12 17
"1033" 2404 1 8
"1034" 2404 2 15
"1035" 2404 3 18
"1036" 2404 4 26
"1037" 2404 5 21
"1038" 2404 6 21
"1039" 2404 7 16
"1040" 2404 8 23
"1041" 2404 9 21
"1042" 2404 10 19
"1043" 2404 11 18
"1044" 2404 12 21
"1045" 2405 1 21
"1046" 2405 2 16
"1047" 2405 3 21
"1048" 2405 4 24
"1049" 2405 5 12
"1050" 2405 6 17
"1051" 2405 7 19
"1052" 2405 8 32
"1053" 2405 9 22
"1054" 2405 10 28
"1055" 2405 11 20
"1056" 2405 12 32
"1057" 2406 1 16
"1058" 2406 2 24
"1059" 2406 3 20
"1060" 2406 4 23
"1061" 2406 5 23
"1062" 2406 6 22
"1063" 2406 7 22
"1064" 2406 8 25
"1065" 2406 9 30
"1066" 2406 10 28
"1067" 2406 11 25
"1068" 2406 12 34
"1069" 2407 1 21
"1070" 2407 2 13
"1071" 2407 3 16
"1072" 2407 4 15
"1073" 2407 5 23
"1074" 2407 6 19
"1075" 2407 7 21
"1076" 2407 8 19
"1077" 2407 9 25
"1078" 2407 10 23
"1079" 2407 11 30
"1080" 2407 12 43
"1081" 2408 1 25
"1082" 2408 2 19
"1083" 2408 3 26
"1084" 2408 4 16
"1085" 2408 5 18
"1086" 2408 6 25
"1087" 2408 7 26
"1088" 2408 8 30
"1089" 2408 9 25
"1090" 2408 10 24
"1091" 2408 11 38
"1092" 2408 12 33
"1093" 2500 1 NA
"1094" 2500 2 NA
"1095" 2500 3 NA
"1096" 2500 4 NA
"1097" 2500 5 14
"1098" 2500 6 24
"1099" 2500 7 7
"1100" 2500 8 18
"1101" 2500 9 17
"1102" 2500 10 24
"1103" 2500 11 25
"1104" 2500 12 25
"1105" 2501 1 NA
"1106" 2501 2 NA
"1107" 2501 3 NA
"1108" 2501 4 NA
"1109" 2501 5 14
"1110" 2501 6 12
"1111" 2501 7 17
"1112" 2501 8 21
"1113" 2501 9 17
"1114" 2501 10 24
"1115" 2501 11 17
"1116" 2501 12 20
"1117" 2502 1 NA
"1118" 2502 2 NA
"1119" 2502 3 NA
"1120" 2502 4 NA
"1121" 2502 5 17
"1122" 2502 6 18
"1123" 2502 7 25
"1124" 2502 8 16
"1125" 2502 9 26
"1126" 2502 10 22
"1127" 2502 11 21
"1128" 2502 12 24
"1129" 2503 1 NA
"1130" 2503 2 NA
"1131" 2503 3 NA
"1132" 2503 4 NA
"1133" 2503 5 19
"1134" 2503 6 10
"1135" 2503 7 24
"1136" 2503 8 22
"1137" 2503 9 21
"1138" 2503 10 25
"1139" 2503 11 27
"1140" 2503 12 34
"1141" 2504 1 NA
"1142" 2504 2 NA
"1143" 2504 3 NA
"1144" 2504 4 NA
"1145" 2504 5 19
"1146" 2504 6 19
"1147" 2504 7 30
"1148" 2504 8 20
"1149" 2504 9 22
"1150" 2504 10 17
"1151" 2504 11 21
"1152" 2504 12 27
