LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC;PAID;ID
3500;19400;20494;HomeImp;Other;5;0;0;95.93;0;9;NA;0;63
3600;61584;61800;HomeImp;ProfExe;10;NA;NA;NA;NA;NA;NA;0;64
3600;41900;52490;HomeImp;Mgr;3;0;0;72.03;2;4;NA;0;65
3600;83700;111800;HomeImp;ProfExe;6;0;0;192.73;1;28;NA;1;66
3600;61327;76484;HomeImp;Mgr;9;NA;2;202.51;0;25;41.516;1;67
3600;100693;114743;HomeImp;Office;6;0;0;88.47;0;14;29.394;1;68
3600;48507;61000;DebtCon;Office;13;1;4;97.4;0;17;NA;0;69
3600;52337;63989;HomeImp;Office;20;0;0;204.27;0;20;20.471;1;70
3700;17857;21144;HomeImp;Other;5;0;0;129.72;1;9;26.634;0;71
3800;19135;97692;HomeImp;Mgr;1.6;1;6;252.63;1;25;NA;0;72
3800;51180;63459;HomeImp;Office;20;0;0;203.75;0;20;20.067;1;73
3800;NA;73189;0;0;NA;NA;NA;NA;NA;NA;22.254;1;74
3800;11543;46045;HomeImp;Self;NA;0;0;204.65;0;11;42.173;1;75
3900;29896;45960;HomeImp;Other;11;0;0;146.12;0;14;24.479;0;76
3900;14500;22092;HomeImp;Other;3.5;0;1;150.3;5;8;NA;0;77
3900;52825;63000;DebtCon;ProfExe;8;0;4;171.67;1;31;NA;1;78
3900;102143;118742;HomeImp;Office;2;0;0;85.28;0;13;29.344;1;79
3900;21200;39000;DebtCon;Mgr;4;0;1;86.57;2;14;NA;0;80
4000;105164;112774;HomeImp;Office;1;0;0;94.72;0;13;29.391;1;81
4000;54543;61777;HomeImp;Office;21;0;0;205.59;0;19;21.807;1;82
4000;NA;80609;HomeImp;Other;1.5;0;2;126.53;3;12;NA;0;83
4000;26572;31960;HomeImp;Office;11;0;0;117.8;0;8;41.286;0;84
4000;17000;52012;HomeImp;ProfExe;22;3;1;85.33;1;9;NA;0;85
4000;29562;37200;DebtCon;Other;6;0;0;92.13;1;26;NA;0;86
4000;41700;76725;HomeImp;Other;0.5;0;3;136.13;0;15;NA;0;87
4000;58000;69440;HomeImp;Other;3.5;0;1;168.67;0;18;NA;0;88
4000;5700;18000;DebtCon;Other;NA;0;0;12.2;0;17;NA;0;89
4000;45000;58350;HomeImp;Mgr;3.5;0;0;162;3;16;NA;0;90
4000;7000;16020;HomeImp;Other;18;0;1;85.8;2;23;NA;0;91
4000;66000;79050;HomeImp;Other;1.8;2;0;279;1;6;NA;1;92
4000;NA;45760;HomeImp;0;0;0;0;NA;0;0;NA;1;93
4000;62000;78000;HomeImp;Other;4;0;0;109.57;0;15;NA;1;94
4000;64240;63990;HomeImp;Sales;5;2;0;160.3;1;23;NA;1;95
4000;74000;93000;HomeImp;ProfExe;2.6;1;3;186.63;NA;9;NA;0;96
4000;55000;59000;DebtCon;Other;12;2;0;146.1;0;22;NA;0;97
4000;67625;80698;HomeImp;Mgr;11;NA;1;212.35;0;25;39.129;1;98
4000;67533;71865;HomeImp;Mgr;10;NA;2;227.79;0;25;39.166;1;99
4100;NA;19132;HomeImp;Other;0;0;0;100.77;0;19;33.841;0;100
4100;58500;65000;HomeImp;Other;8;1;2;63.93;2;15;NA;0;101
4100;57992;63797;DebtCon;ProfExe;7;0;4;165.51;1;31;22.278;1;102
4200;56544;59218;HomeImp;Office;19;0;0;211;1;20;19.028;1;103
4200;34800;50225;HomeImp;Other;2;1;0;93.5;1;5;NA;0;104
4200;67700;77000;DebtCon;Sales;4;0;0;128.83;0;31;NA;1;105
4200;44000;55085;DebtCon;0;6;NA;1;75.43;NA;16;NA;1;106
4200;66272;82953;HomeImp;Other;3;0;0;110.28;0;15;43.451;1;107
4200;50216;58541;HomeImp;Office;19;0;0;209.87;0;19;20.208;1;108
4300;71206;78698;DebtCon;Sales;3;0;0;129.93;0;31;34.181;1;109
4300;68815;79852;HomeImp;Other;6;0;0;105.12;0;14;41.806;1;110
4300;72021;80027;HomeImp;Other;2;2;0;263.97;0;5;36.432;1;111
4400;53969;63869;DebtCon;ProfExe;7;0;3;162.39;0;30;23.581;1;112
4400;NA;60250;0;0;NA;NA;NA;NA;NA;NA;NA;1;113
4400;53091;64074;DebtCon;Office;14;1;3;89.86;0;17;39.158;0;114
4500;66127;79087;HomeImp;Other;4;1;0;81.35;0;15;40.705;1;115
4500;NA;77182;0;0;NA;NA;NA;NA;NA;NA;25.227;1;116
4500;39000;66000;HomeImp;Other;1;0;0;170.37;1;19;NA;0;117
4500;71082;79247;HomeImp;Other;4;0;0;118.76;0;14;41.421;1;118
4500;NA;49044;HomeImp;0;0;0;0;NA;0;0;11.653;1;119
4500;57000;NA;HomeImp;Other;5;NA;NA;222.6;1;13;NA;0;120
4500;34184;46000;HomeImp;Mgr;3.5;0;1;122.6;2;22;NA;0;121
4500;66517;87000;DebtCon;ProfExe;10;0;4;125.8;0;34;NA;0;122
4500;45500;50000;HomeImp;Other;6;0;0;86.17;0;18;NA;1;123
4500;118000;146870;HomeImp;ProfExe;4.5;2;0;203.87;1;20;NA;0;124
4500;90000;105800;HomeImp;Other;6;2;3;80.1;3;10;NA;0;125
4700;67913;97205;0;Mgr;2;0;0;142.82;0;24;35.227;1;126
4700;71855;88566;HomeImp;Other;2;2;0;283.96;0;5;36.475;1;127
4700;53918;59511;DebtCon;0;6;NA;0;54.14;NA;15;34.417;1;128
4700;49100;58238;HomeImp;ProfExe;0.1;0;0;61.8;2;17;NA;0;129
4700;88026;115506;HomeImp;ProfExe;6;0;0;182.25;0;27;29.209;1;130
4700;26900;45000;HomeImp;ProfExe;9;1;2;90.47;1;16;NA;0;131
4800;67317;97191;0;Mgr;3;0;0;137.32;0;23;34.275;1;132
4800;56067;63102;DebtCon;ProfExe;9;0;3;160.15;1;30;21.584;1;133
4800;80482;88342;HomeImp;ProfExe;7;0;0;275.03;0;11;43.718;1;134
4900;58688;63348;DebtCon;ProfExe;9;0;3;179.16;2;31;22.544;1;135
4900;65873;90408;0;Mgr;2;0;0;141.86;0;23;37.77;1;136
4900;25597;23031;HomeImp;Other;5;0;0;101.75;0;8;33.243;0;137
4900;67794;84630;HomeImp;Other;4;0;0;112.57;0;15;41.674;1;138
4900;44000;59745;HomeImp;Other;10;0;0;81.5;3;13;NA;0;139
4900;NA;28437.5;HomeImp;0;NA;NA;NA;NA;NA;NA;NA;1;140
4900;170986;245300;DebtCon;Sales;NA;0;0;131.93;0;22;NA;1;141
4900;65576;65774;HomeImp;Other;6;1;2;61.64;1;14;40.591;0;142
4900;57461;68494;DebtCon;ProfExe;8;0;4;183.64;0;30;22.795;1;143
4900;NA;69706;0;0;NA;NA;NA;NA;NA;NA;33.706;1;144
5000;NA;34846;HomeImp;0;NA;NA;NA;NA;NA;NA;33.355;1;145
5000;47479;61690;DebtCon;0;5;NA;0;65.03;NA;16;36.699;1;146
5000;66839;87168;HomeImp;Other;4;0;0;122.6;0;15;40.617;1;147
5000;12457;53448;HomeImp;Self;NA;0;0;207.14;0;12;44.108;1;148
5000;90059;113714;HomeImp;ProfExe;7;0;0;193.64;0;28;25.897;1;149
5000;22320;34900;HomeImp;Other;10;0;0;65.7;1;5;NA;0;150
5000;40000;70500;HomeImp;Mgr;0.4;0;0;61.77;2;8;NA;0;151
5000;100882;102700;HomeImp;Mgr;5;0;1;58.87;0;16;NA;0;152
5000;31000;47350;HomeImp;ProfExe;12;NA;NA;NA;NA;NA;NA;0;153
5000;63125;126500;HomeImp;Office;3;0;0;100.3;0;14;NA;0;154
5000;100000;129693.5;HomeImp;Mgr;13;NA;NA;NA;NA;NA;NA;0;155
5000;NA;132000;HomeImp;Other;17.5;0;2;121.9;0;14;NA;0;156
5000;NA;9100;HomeImp;Other;1;0;0;54.73;2;8;NA;0;157
5000;34200;50830;HomeImp;Other;6;0;0;57;1;9;NA;0;158
5000;NA;71277;HomeImp;Other;10;0;0;72.43;1;12;NA;0;159
5000;123000;157500;HomeImp;Mgr;9;NA;NA;NA;NA;NA;NA;0;160
5000;16600;25250;HomeImp;Other;6;0;0;88.7;1;3;NA;0;161
5000;NA;52000;HomeImp;Other;NA;0;1;285.33;0;6;NA;0;162
5000;22700;34225;HomeImp;Other;4;0;0;74.63;3;9;NA;0;163
5000;6000;38575;HomeImp;Self;7;0;1;335.03;3;42;NA;0;164
5000;NA;74500;HomeImp;Other;19;NA;NA;NA;NA;NA;NA;0;165
5000;NA;94119;HomeImp;Other;19;NA;NA;NA;NA;NA;NA;0;166
5000;73126;87500;DebtCon;Other;1;0;0;125.97;2;10;NA;1;167
5000;72517;86250;DebtCon;Mgr;19;0;1;300.37;1;24;NA;1;168
5000;26037;35000;HomeImp;ProfExe;12;0;0;182.63;0;13;NA;1;169
5000;39000;50340;HomeImp;Office;10;NA;NA;179.83;NA;19;NA;1;170
5000;NA;26550;DebtCon;Other;1.7;0;0;276.97;1;14;NA;1;171
5000;70470;77908;DebtCon;0;5;NA;NA;NA;NA;NA;NA;1;172
5000;NA;36375;HomeImp;Other;3;0;0;266.8;1;26;NA;1;173
5000;74225;89640;DebtCon;ProfExe;0.3;NA;NA;NA;NA;NA;NA;1;174
5000;NA;65400;HomeImp;Office;1.5;0;0;51.77;0;4;NA;1;175
5000;NA;37500;HomeImp;Other;NA;0;3;107.13;10;5;NA;0;176
5000;78565;98500;DebtCon;ProfExe;24;0;0;51.77;3;14;NA;1;177
5000;59900;80800;DebtCon;ProfExe;15;0;0;219.13;1;18;NA;1;178
5000;10171;26809;HomeImp;Office;13;3;6;228.3;0;24;NA;0;179
5000;78893;82600;HomeImp;Mgr;16;0;0;133.9;1;34;NA;0;180
5000;85165;107940;HomeImp;Mgr;6;5;3;122.77;5;28;NA;0;181
5000;68000;75616;DebtCon;ProfExe;0.1;0;0;131.87;0;30;NA;0;182
5000;71571;85100;DebtCon;ProfExe;1.4;0;1;82.13;0;13;NA;0;183
5000;28000;36810;DebtCon;Other;2;1;0;222.2;1;6;NA;0;184
5000;40000;32480;HomeImp;Other;8;3;2;163.37;1;16;NA;0;185
5000;81748;NA;DebtCon;ProfExe;14;1;2;144.07;2;17;NA;0;186
5000;44674;59375;HomeImp;Office;10;NA;NA;178.69;NA;19;26.448;1;187
5000;61999;75021.3;HomeImp;Other;5;0;0;97.1;0;23;NA;0;188
5000;80153;97275;DebtCon;Other;1;0;0;120.68;2;10;37.513;1;189
5000;68739;93435;0;Mgr;3;0;0;148.72;0;23;36.669;1;190
5000;51209;55320;DebtCon;0;5;NA;1;69.11;NA;15;35.025;1;191
5000;46696;85202;HomeImp;Other;2;1;2;148.34;0;14;46.49;0;192
5000;NA;46281;HomeImp;Other;2;0;0;257.65;0;26;40.953;1;193
5000;66435;82819;HomeImp;Other;2;0;0;125.13;0;14;42.184;1;194
5100;179725;251962;DebtCon;Sales;NA;0;0;127.5;0;22;40.308;1;195
5100;85583;115341;HomeImp;ProfExe;7;0;0;177.96;1;28;26.258;1;196
5100;72891;80691;HomeImp;Other;1;1;0;273.88;0;6;39.852;1;197
5100;30755;46735;HomeImp;Other;10;0;0;69;0;17;NA;0;198
5100;NA;26715;DebtCon;Other;1;0;0;258.79;0;14;26.722;1;199
5100;87258;121382;HomeImp;ProfExe;6;0;0;181.66;0;28;25.445;1;200
5100;NA;28291;DebtCon;Other;2;0;0;277.94;1;14;23.645;1;201
5100;9900;30451;HomeImp;Other;11;0;0;21.2;0;2;NA;0;202
5100;93000;116875;HomeImp;Other;10;NA;NA;417.63;2;50;NA;1;203
5100;15500;34000;DebtCon;Other;0;1;2;86.23;2;13;NA;0;204
5100;129319;141875;HomeImp;Sales;7;1;0;157.86;0;36;25.651;0;205
5100;66834;87361;HomeImp;Other;0;2;0;290.03;0;6;38.767;1;206
5100;73882;96031;DebtCon;Other;0;0;0;125.79;1;10;34.446;1;207
5100;74071;97064;DebtCon;Other;0;0;0;121.08;2;9;36.402;1;208
5100;62702;79784;HomeImp;Other;2;0;0;108.07;0;15;43.29;1;209
5200;NA;36425;DebtCon;Other;2;0;0;266.81;1;14;23.797;1;210
5200;67000;77000;HomeImp;Other;9;0;1;119.7;0;25;NA;1;211
5200;43039;53521;HomeImp;Office;11;NA;NA;184.3;NA;19;24.415;1;212
5200;19000;26000;DebtCon;Other;0;1;0;17.2;10;7;NA;1;213
5200;NA;9500;DebtCon;Other;1;0;1;81.1;1;2;NA;0;214
5200;91250;110000;HomeImp;Office;24;0;0;123.77;1;12;NA;1;215
5200;16324;45187;HomeImp;Self;NA;0;0;221.12;0;11;42.712;1;216
5200;40564;39527;HomeImp;Other;0;0;0;157.77;1;13;72.67;0;217
5300;73698;84427;DebtCon;0;4;NA;NA;NA;NA;NA;19.131;1;218
5300;66987;65111;HomeImp;Sales;4;1;0;175.33;1;22;40.443;1;219
5300;26908;36078;HomeImp;Other;NA;0;0;302.36;0;8;39.197;0;220
5300;NA;49396;HomeImp;0;0;0;0;NA;0;0;12.044;1;221
5300;44993;50673;HomeImp;Office;7;NA;NA;184.74;NA;18;27.906;1;222
5300;51000;64000;HomeImp;Mgr;10;1;0;98.33;0;12;NA;0;223
5300;75958;91703;DebtCon;Other;0;0;0;124.18;1;10;34.599;1;224
5300;97132;117343;HomeImp;Office;22;0;0;109.93;1;11;35.839;1;225
5300;60826;80826;HomeImp;Mgr;10;NA;1;212.89;0;25;38.591;1;226
5300;83552;96809;DebtCon;ProfExe;0;NA;NA;NA;NA;NA;28.424;1;227
5300;47449;63895;HomeImp;Office;19;0;0;208.16;0;20;19.762;1;228
5300;50934;62957;HomeImp;Office;21;0;0;197.24;0;20;19.351;1;229
5400;53429;64505;DebtCon;0;5;NA;0;69.54;NA;16;36.48;1;230
5400;NA;65474;HomeImp;Office;1;0;0;40.71;0;4;37.849;1;231
5400;47844;52040;HomeImp;Office;8;NA;NA;189.03;NA;18;24.701;1;232
5400;45509;57453;DebtCon;Sales;4;0;0;95.6;0;22;NA;0;233
5400;59720;63450;HomeImp;ProfExe;5;0;1;199.9;1;20;NA;0;234
5400;86922;119846;HomeImp;ProfExe;5;0;0;185.08;1;28;26.355;1;235
5400;68625;82304;DebtCon;Sales;2;0;0;136.63;0;30;32.05;1;236
5400;65814;85848;HomeImp;Other;4;0;0;122.94;0;15;44.092;1;237
5400;NA;75254;0;0;NA;NA;NA;NA;NA;NA;23.164;1;238
5400;78300;88000;HomeImp;ProfExe;8;0;0;102.5;3;19;NA;0;239
5400;48152;55760;DebtCon;0;6;NA;0;78.45;NA;16;35.764;1;240
5500;70481;82446;HomeImp;Other;8;0;1;116.59;0;24;37.613;1;241
5500;NA;35402;HomeImp;0;NA;NA;NA;NA;NA;NA;35.272;1;242
5500;87765;101053;DebtCon;ProfExe;22;0;0;55.56;2;13;31.376;1;243
5500;52897;65054;HomeImp;Office;20;0;0;189.3;0;19;20.654;1;244
5500;24700;35675;DebtCon;Other;1;0;3;153.93;3;27;NA;0;245
5500;NA;43132;HomeImp;Other;NA;NA;NA;NA;NA;NA;NA;0;246
5500;43486;81600;DebtCon;0;4;0;0;216.13;4;30;NA;1;247
5500;21359;30000;DebtCon;Other;7;3;2;130.8;3;14;NA;0;248
5500;NA;13770;HomeImp;Mgr;5;0;1;167.37;1;8;NA;0;249
5500;93051;115374;HomeImp;ProfExe;6;0;0;187.02;1;27;27.647;1;250
5500;87438;116679;HomeImp;ProfExe;6;0;0;186.42;1;27;28.418;1;251
5500;78059;78179;DebtCon;0;5;NA;NA;NA;NA;NA;20.679;1;252
5500;72147;69918;HomeImp;Sales;4;2;0;158.53;0;23;43.404;1;253
5500;40584;46645;HomeImp;Other;4;0;1;136.32;0;13;34.495;0;254
5500;NA;12972;HomeImp;Other;1;0;1;82.29;0;2;36.987;0;255
5500;37368;48502;HomeImp;Mgr;9;0;2;49;0;10;33.126;0;256
5500;NA;66251;HomeImp;Office;1;0;0;43.72;0;3;41.452;1;257
5500;71644;72696;HomeImp;Sales;4;2;0;150.87;0;22;40.443;1;258
5500;85845;122205;DebtCon;ProfExe;5;0;0;172.21;1;26;32.677;0;259
5600;53793;66379;HomeImp;Office;22;0;0;206.1;0;19;18.37;1;260
5600;69435;83489;DebtCon;ProfExe;14;0;0;200.42;1;17;22.841;1;261
5600;29648;39907;HomeImp;ProfExe;11;0;0;180.56;0;13;21.555;1;262
5600;76407;77485;HomeImp;Other;9;0;0;91.68;0;24;37.773;1;263
5600;5000;66700;HomeImp;Other;31;1;1;204.07;0;11;NA;0;264
5600;55160;86800;HomeImp;Other;3;1;1;148.13;1;14;NA;0;265
5600;41439;53893;HomeImp;Office;8;NA;NA;181.32;NA;19;24.651;1;266
5600;15275;47954;HomeImp;Self;NA;0;0;204.34;0;12;42.398;1;267
5700;100934;111496;HomeImp;Office;23;0;0;117.5;0;12;38.751;1;268
5700;NA;74685;0;0;NA;NA;NA;NA;NA;NA;24.275;1;269
5700;49514;58249;HomeImp;Office;21;0;0;212.54;0;21;21.258;1;270
5700;76948;85753;HomeImp;Other;7;0;0;128.48;0;25;37.86;1;271
5700;28127;36524;HomeImp;ProfExe;10;0;0;181.28;0;13;24.34;1;272
5700;NA;68591;HomeImp;Office;0;0;0;69.65;0;4;41.185;1;273
5700;26927;35461;DebtCon;Other;0;1;0;21.8;10;6;29.44;1;274
5700;49806;82242;DebtCon;0;3;0;0;210.35;3;30;31.243;1;275
5700;70000;84579;DebtCon;Sales;0.1;0;0;95.9;1;17;NA;0;276
5700;58400;75000;HomeImp;ProfExe;4;0;0;177.5;2;26;NA;0;277
5700;80437;109647;HomeImp;ProfExe;9.5;0;0;104.4;0;14;NA;0;278
5700;77213;92661;DebtCon;Sales;0;0;0;97.13;1;16;41.778;0;279
5700;62319;82923;HomeImp;Other;4;0;0;117.67;0;15;42.465;1;280
5700;71556;79538;HomeImp;Other;2;0;0;92.64;0;15;41.21;1;281
5700;NA;39052;HomeImp;Other;3;0;0;272.22;0;25;39.896;1;282
5700;74172;79846;DebtCon;ProfExe;0;0;0;157.01;0;28;47.415;0;283
5700;28116;33450;DebtCon;Other;0;1;0;15.4;9;7;30.017;1;284
5700;NA;64910;0;0;NA;NA;NA;NA;NA;NA;33.85;1;285
5700;NA;69172;HomeImp;Office;1;0;0;48.85;0;3;38.774;1;286
5800;NA;36385;HomeImp;Other;2;0;0;266.55;1;25;43.31;1;287
5800;NA;41119;HomeImp;Other;2;0;0;261.41;0;26;42.192;1;288
5800;75000;90543;DebtCon;Mgr;18;0;0;300.49;1;23;38.941;1;289
5800;79296;86885;DebtCon;Mgr;19;0;1;307.97;1;23;39.959;1;290
5800;27791;46833;DebtCon;Mgr;3;0;0;83.29;1;13;30.188;0;291
5800;172595;250155;DebtCon;Sales;NA;0;0;126.4;0;21;43.208;1;292
5800;NA;34704;HomeImp;0;NA;NA;NA;NA;NA;NA;34.174;1;293
5800;NA;73804;HomeImp;Office;1;0;0;71.77;0;4;41.287;1;294
5800;46595;58191;HomeImp;Other;5;0;0;80.13;0;17;24.14;1;295
5900;NA;28000;DebtCon;Self;1;2;1;36.77;1;8;NA;0;296
5900;70973;77989;HomeImp;Other;7;0;0;120.38;0;24;41.443;1;297
5900;NA;33100;HomeImp;Other;NA;0;0;238.6;1;2;NA;0;298
5900;NA;51189;HomeImp;0;1;0;0;NA;0;0;12.749;1;299
5900;82912;91175;DebtCon;ProfExe;2;NA;NA;NA;NA;NA;27.595;1;300
5900;25972;41856;DebtCon;Other;2;0;2;157.96;3;27;40.628;0;301
5900;74187;78976;HomeImp;Other;9;0;1;118.44;0;24;40.11;1;302
5900;NA;66903;0;0;NA;NA;NA;NA;NA;NA;32.783;1;303
5900;106650;NA;DebtCon;Mgr;1;0;6;250.57;4;23;NA;0;304
6000;NA;69492;0;0;NA;NA;NA;NA;NA;NA;32.977;1;305
6000;95232;115977;HomeImp;Office;22;0;0;149.02;1;12;37.954;1;306
6000;47625;85925;HomeImp;Office;0.1;2;1;154.13;4;26;NA;0;307
6000;24600;30500;HomeImp;Other;4.5;0;1;116.1;8;34;NA;0;308
6000;65000;94355;0;Other;26;1;3;69.3;1;34;NA;0;309
6000;NA;NA;HomeImp;Office;13;NA;2;122.77;NA;23;NA;0;310
6000;33600;NA;HomeImp;Other;2;0;0;140.93;1;20;NA;0;311
6000;42000;58305;DebtCon;Other;19;0;0;90;2;13;NA;0;312
6000;32446;54904;HomeImp;Other;2;0;0;51.73;1;9;NA;0;313
6000;9660;35900;DebtCon;Other;8;0;1;136.3;3;6;NA;0;314
6000;22859;32200;DebtCon;Other;4;0;0;83.33;3;20;NA;0;315
6000;16878;25850;0;Mgr;1;0;1;218.6;5;34;NA;0;316
6000;72951;80000;HomeImp;Other;22.8;0;0;343.9;1;47;NA;1;317
6000;43000;57460;HomeImp;Other;1.6;1;NA;101.5;NA;13;NA;1;318
6000;53500;64790;DebtCon;Other;0.1;0;2;105.4;3;18;NA;1;319
6000;69876;94394.07;HomeImp;Other;0;0;1;179.57;0;32;NA;1;320
6000;51000;86125;HomeImp;ProfExe;6;0;0;222.17;2;24;NA;1;321
6000;53227;68700;HomeImp;Mgr;3;0;2;122.73;0;23;NA;1;322
6000;NA;43300;HomeImp;Other;NA;NA;NA;100.93;NA;9;NA;1;323
6000;14000;61493;HomeImp;Office;23;0;0;321.63;1;13;NA;1;324
6000;40000;54600;HomeImp;ProfExe;4;0;4;101.4;0;19;NA;0;325
6000;18793;27750;HomeImp;Mgr;6;0;3;119.7;0;8;NA;0;326
6000;179397;200000;DebtCon;ProfExe;5;6;0;90.3;6;29;NA;0;327
6000;NA;95500;HomeImp;Mgr;6;1;2;129.9;1;22;NA;0;328
6000;79046;103048;HomeImp;Other;0;0;0;181.7;0;32;37.29;1;329
6000;NA;53190;HomeImp;0;0;0;0;NA;0;0;15.174;1;330
6000;NA;43683;HomeImp;Other;NA;NA;NA;NA;NA;NA;21.935;0;331
6000;129731;154113;HomeImp;ProfExe;12;0;0;213.53;0;19;NA;1;332
6100;48500;62500;DebtCon;Mgr;7;NA;4;111.3;2;11;NA;1;333
6100;NA;47400;0;0;NA;NA;NA;NA;NA;NA;NA;1;334
6100;91704;114799;HomeImp;Office;22;0;0;129.25;1;12;36.747;1;335
6100;47604;54966;HomeImp;Other;5;0;0;70.7;0;18;24.767;1;336
6100;NA;35250;HomeImp;Other;NA;NA;NA;303;NA;12;NA;1;337
6100;62751;95617;HomeImp;Other;1;0;0;138.65;1;13;31.757;0;338
6100;48300;53388;HomeImp;Office;9;NA;NA;178.49;NA;19;26.72;1;339
6100;68743;65321;HomeImp;Sales;3;1;0;153.07;0;22;40.151;1;340
6100;79636;87276;HomeImp;Other;20;0;0;350.44;0;47;28.848;1;341
